ReferenceID,Country,Product_Code,Product_Name,Subscription_Start_Date,Subscription_Deactivation_Date,Subscription_Duration_Months,Order_Date_Kyiv,Return_Date_Kyiv,Last_Rebill_Date_Kyiv,Has_Chargeback,Has_Refund,Sales_Agent_Name,Source,Campaign_Name,Total_Amount,Discount_Amount,Number_Of_Rebills,Original_Amount,Returned_Amount,Total_Rebill_Amount
GYB220324-5332-11174,AU,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,24-3-2022 0:00:00,6-10-2022 0:00:00,24,25-3-2022 2:50:00,,,No,No,Megan,Chat,PDFSuite.CTA,"575,9",0,,"575,9",,
GYB220324-5332-88130,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,24-3-2022 0:00:00,31-3-2023 0:00:00,1,24-3-2022 23:45:00,,,No,No,Keira,Chat,AQ_21,432,0,,432,,
GYB220324-5332-88130,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,24-3-2022 0:00:00,31-3-2023 0:00:00,1,24-3-2022 23:45:00,,,No,No,,,,432,0,,432,,
GYB220324-7871-19116,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,24-3-2022 0:00:00,24-4-2022 0:00:00,1,24-3-2022 18:23:00,,,No,No,,,,"49,5","49,5",,99,,
GYB220325-4913-56125,US,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,25-3-2022 0:00:00,,24,25-3-2022 3:13:00,,,No,No,Megan,Chat,PDFSuite.CTA,576,0,,576,,
GYB220325-4913-70155,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,25-3-2022 5:20:00,,,No,No,,,,"119,11","29,78",,"148,89",,
GYB220325-5541-34116,GB,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,25-3-2022 0:00:00,1-4-2023 0:00:00,1,25-3-2022 21:28:00,,,No,No,,,,"366,92","64,76",,"431,68",,
GYB220325-5566-42122,AU,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,25-3-2022 0:00:00,26-5-2023 0:00:00,1,26-3-2022 1:39:00,,25-5-2023 11:32:00,No,No,Keira,Chat,AQ_21,"199,26",0,9,"199,26",,"166,27"
GYB220326-5541-91129,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,26-3-2022 0:00:00,4-8-2022 0:00:00,12,26-3-2022 17:01:00,,,No,No,Rodger,Call,AQ_9,"302,4","129,6",,432,,
GYB220326-5541-94114,AU,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,26-3-2022 0:00:00,26-4-2022 0:00:00,1,26-3-2022 7:42:00,,,No,No,,,,"74,47","24,83",,"99,3",,
GYB220326-5566-84101,AU,one-time-pc-support,Support One Time PC Support,,,0,26-3-2022 4:31:00,,,No,No,,,,"74,64","74,64",,"149,28",,
GYB220326-7711-42168,US,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,26-3-2022 0:00:00,26-3-2024 0:00:00,24,26-3-2022 19:54:00,,,No,No,Rodger,Call,AQ_25,576,0,,576,,
GYB220326-7711-59144,AU,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,26-3-2022 0:00:00,2-4-2023 0:00:00,1,26-3-2022 4:55:00,,,No,No,,,,"432,06",0,,"432,06",,
GYB220327-2543-77152,US,gyb-support-12-month-plan-hi,Support 12-month Plan,27-3-2022 0:00:00,13-7-2024 0:00:00,12,27-3-2022 21:42:00,,,No,No,Jackie,Call,BF.Upgrade,324,108,,432,,
GYB220327-2543-96116,US,aq-gyb-support-6-month-plan-hi,Support 6-month Plan,27-3-2022 0:00:00,27-9-2022 0:00:00,6,27-3-2022 18:33:00,,,No,No,Ruby,Ticket,AQ_21,252,84,,336,,
GYB220327-4732-29120,UA,gyb-support-36-month-plan,Support 36-month plan,27-3-2022 0:00:00,,36,27-3-2022 14:28:00,,,No,No,Alex,Chat,,576,0,,576,,
GYB220327-4732-57165,UA,gyb-support-36-month-plan,Support 36-month plan,27-3-2022 0:00:00,,36,27-3-2022 14:38:00,,,No,No,,,,576,0,,576,,
GYB220327-4732-94144,UA,gyb-support-36-month-plan,Support 36-month plan,27-3-2022 0:00:00,,36,27-3-2022 14:30:00,,,No,No,,,,576,0,,576,,
GYB220327-4913-74111,GB,aq-gyb-support-6-month-plan-lo,Support 6-month Plan,27-3-2022 0:00:00,4-10-2022 0:00:00,1,27-3-2022 15:25:00,,,No,No,Jules,Chat,AQ_9,"199,32","49,83",,"249,15",,
GYB220327-5541-44119,EG,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,27-3-2022 0:00:00,3-8-2023 0:00:00,1,27-3-2022 21:15:00,,1-7-2023 10:55:00,No,No,,,,"345,6","86,4",4,432,,"79,8"
GYB220327-6791-67101,BB,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,27-3-2022 0:00:00,27-3-2024 0:00:00,24,27-3-2022 21:25:00,,,No,No,Rodger,Call,AQ_9,432,144,,576,,
GYB220328-2050-88108,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,28-3-2022 0:00:00,,36,28-3-2022 18:47:00,,,No,No,Rinna,Chat,AQ_9,684,0,,684,,
GYB220328-2543-42151,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,28-3-2022 0:00:00,28-3-2025 0:00:00,36,29-3-2022 0:50:00,,,No,No,Rodger,From Support,AQ.Upgrade,"478,8","205,2",,684,,
GYB220328-2543-92182,US,aq-gyb-support-12-month-plan,Support 12-month plan,28-3-2022 0:00:00,28-3-2023 0:00:00,12,29-3-2022 1:20:00,,,No,No,Rodger,Call,AQ.Upgrade,"235,2","100,8",,336,,
GYB220328-4913-76127,AU,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,28-3-2022 0:00:00,28-4-2022 0:00:00,1,28-3-2022 4:21:00,,,No,No,,,,"49,79","49,79",,"99,58",,
GYB220328-5541-29163,GB,aq-one-time-pc-support,Support One Time PC Support,,,0,28-3-2022 22:35:00,,,No,No,,,,"119,59","29,9",,"149,49",,
GYB220328-5541-76131,US,aq-one-time-pc-support,Support One Time PC Support,,,0,28-3-2022 19:57:00,,,No,No,,,,"74,5","74,5",,149,,
GYB220328-5566-93116,CA,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,28-3-2022 0:00:00,28-3-2023 0:00:00,12,28-3-2022 18:12:00,,,No,No,,,,"345,92","86,48",,"432,4",,
GYB220328-7711-47169,US,gyb-support-single-monthly,Support Single Device Monthly Subscription,28-3-2022 0:00:00,28-6-2022 0:00:00,1,28-3-2022 22:47:00,,28-6-2022 17:04:00,No,No,Jackie,Call,BF.Upgrade,99,0,3,99,,"59,85"
GYB220328-7711-85129,US,aq-gyb-support-single-monthly,Support Single Device Monthly Subscription,28-3-2022 0:00:00,29-4-2022 0:00:00,1,28-3-2022 20:26:00,,,No,No,Vicky,Call,AQ_25,"49,5","49,5",,99,,
GYB220329-2050-12112,CA,aq-gyb-support-24-month-plan-hi,Support 24-month Plan,29-3-2022 0:00:00,,24,29-3-2022 23:41:00,,,No,No,Jackie,Call,AQ_1,"489,08","86,31",,"575,39",,
GYB220329-2543-35114,GB,aq-gyb-support-6-month-plan-lo,Support 6-month Plan,29-3-2022 0:00:00,29-9-2022 0:00:00,6,29-3-2022 19:21:00,,,No,No,Jules,Chat,AQ_9,"199,23","49,8",,"249,03",,
GYB220329-6791-66123,US,aq-one-time-pc-support,Support One Time PC Support,,,0,30-3-2022 1:46:00,,,No,No,Jackie,Call,AQ_21,"104,3","44,7",,149,,
GYB220330-2050-28110,US,aq-one-time-pc-support,Support One Time PC Support,,,0,30-3-2022 22:53:00,,,No,No,,,,"74,5","74,5",,149,,
GYB220330-4913-68138,US,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,30-3-2022 0:00:00,30-6-2022 0:00:00,3,30-3-2022 21:14:00,,,No,No,Keira,Chat,AQ_21,199,0,,199,,
GYB220330-4913-72103,GB,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,30-3-2022 0:00:00,30-7-2022 0:00:00,1,30-3-2022 18:20:00,,30-6-2022 12:59:00,No,No,Keira,Chat,AQ_21,"199,15",0,1,"199,15",,"18,53"
GYB220330-5332-86110,US,aq-gyb-support-3-month-plan-lo,Support 3-month Plan,30-3-2022 0:00:00,28-4-2023 0:00:00,1,30-3-2022 23:17:00,,28-3-2023 13:46:00,No,No,Keira,Chat,AQ_21,199,0,10,199,,"199,5"
GYB220330-5566-60139,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,30-3-2022 0:00:00,30-3-2025 0:00:00,36,30-3-2022 19:31:00,,,No,No,,,,684,0,,684,,
GYB220330-6791-70119,CA,aq-one-time-pc-support,Support One Time PC Support,,,0,30-3-2022 21:11:00,,,No,No,,,,"148,94",0,,"148,94",,
GYB220330-7323-80104,US,aq-one-time-pc-support,Support One Time PC Support,,,0,31-3-2022 2:51:00,,,No,No,Vicky,Call,AQ_9,"104,3","44,7",,149,,
GYB220331-2793-63106,CA,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,31-3-2022 0:00:00,,36,31-3-2022 19:58:00,,,No,No,,,,"546,86","136,71",,"683,57",,
GYB220331-3150-41125,AU,aq-one-time-pc-support,Support One Time PC Support,,,0,1-4-2022 2:02:00,,,No,No,,,,"96,86","52,16",,"149,02",,
GYB220331-3150-50104,AU,aq-one-time-pc-support,Support One Time PC Support,,,0,31-3-2022 12:24:00,,,No,No,,,,"149,01",0,,"149,01",,
GYB220331-8709-50130,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,31-3-2022 0:00:00,31-3-2025 0:00:00,36,1-4-2022 1:09:00,,,No,No,,,,684,0,,684,,
GYB220331-9703-13148,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,31-3-2022 0:00:00,11-5-2022 0:00:00,36,31-3-2022 23:16:00,11-5-2022 10:53:00,,Yes,No,,,,"547,2","136,8",,684,"547,2",
GYB220331-9703-29106,US,aq-gyb-support-6-month-plan,Support 6-month plan,31-3-2022 0:00:00,30-10-2022 0:00:00,1,31-3-2022 20:19:00,,30-9-2022 13:06:00,No,No,Rodger,Call,AQ_9,144,48,1,192,,"19,95"
